raceId,lap,for_position,overtaker,overtaken,live,turn
1121,2,14,858,817,Yes,4
1121,3,2,847,844,Yes,4
1121,3,6,846,4,Yes,1
1121,5,7,857,4,Replay,1
1121,5,18,840,822,,11
1121,7,3,815,844,Yes,11
1121,8,12,855,825,,1
1121,8,12,825,855,,1
1121,10,9,1,4,Yes,1
1121,11,4,832,844,Yes,1
1121,12,13,844,822,,14
1121,13,7,847,817,Yes,14
1121,14,6,815,847,Yes,4
1121,14,18,822,842,,1
1121,16,14,839,848,,1
1121,17,4,832,844,Yes,1
1121,17,9,4,855,,4
1121,17,11,852,840,,1
1121,17,14,848,839,,4
1121,18,3,832,847,Yes,4
1121,21,15,817,839,Replay,4
1121,33,13,840,855,Yes,1
1121,34,6,847,4,Yes,1
1121,35,8,857,1,Yes,1
1121,35,8,1,857,Yes,1
1121,36,5,844,4,Yes,1
1121,36,6,846,4,Yes,11
1121,36,14,825,852,,1
1121,37,15,817,848,Replay,4
1121,38,13,852,807,Replay,14
1121,39,8,1,4,Yes,1
1121,40,8,857,4,Yes,1
1121,44,10,4,855,Yes,4
1121,46,4,844,847,Yes,11
1121,48,9,4,840,Yes,1
1121,50,16,807,839,Replay,1
1122,2,4,857,4,Yes,1
1122,2,9,852,840,,1
1122,2,9,840,852,,1
1122,4,2,815,844,Yes,1
1122,10,11,860,852,Replay,1
1122,10,14,839,848,,5
1122,13,1,830,846,Yes,1
1122,13,3,815,1,Yes,1
1122,14,8,847,807,Replay,1
1122,14,10,860,855,Replay,1
1122,15,4,844,1,Yes,1
1122,16,16,858,822,,27
1122,18,2,815,846,Yes,1
1122,18,9,860,807,,27
1122,19,9,807,860,Replay,1
1122,21,9,860,807,Yes,1
1122,24,17,817,822,,1
1122,25,12,852,825,,1
1122,25,12,825,852,,1
1122,27,3,844,846,Yes,1
1122,29,12,852,825,Yes,1
1122,29,12,825,852,Yes,2
1122,29,13,839,852,Yes,4
1122,33,14,848,852,Yes,1
1122,43,12,848,839,Replay,1
1123,2,1,832,830,Yes,9
1123,7,17,817,855,,9
1123,8,15,848,825,,2
1123,10,13,848,839,,2
1123,11,5,844,807,Yes,11
1123,11,6,844,842,Yes,9
1123,11,7,857,842,Yes,11
1123,12,6,857,807,Yes,1
1123,16,7,847,842,Yes,3
1123,17,1,4,832,,2
1123,17,6,847,807,,3
1123,17,8,840,842,,3
1123,17,16,822,839,,11
1123,18,7,815,840,Yes,11
1123,21,6,815,847,Yes,9
1123,27,5,815,4,Yes,9
1123,38,14,817,839,,11
1123,39,8,840,842,,11
1123,40,9,852,842,Replay,11
1123,41,4,857,4,Yes,12
1123,41,10,807,842,,1
1123,41,11,848,842,,6
1123,41,12,825,842,,6
1123,44,11,825,848,Yes,9
1124,5,9,847,852,Yes,1
1124,5,11,822,839,Yes,1
1124,6,12,840,839,Yes,1
1124,8,12,825,842,Replay,1
1124,11,13,858,842,Yes,1
1124,13,9,825,839,Yes,1
1124,13,11,857,858,Replay,10
1124,13,13,822,842,Yes,1
1124,13,14,852,842,Replay,6
1124,14,9,857,825,,10
1124,14,10,857,839,Yes,1
1124,14,15,807,842,,1
1124,14,16,840,842,,6
1124,15,11,858,839,Yes,1
1124,15,15,840,807,,6
1124,16,12,822,839,Yes,1
1124,17,2,830,847,,6
1124,17,4,846,1,Yes,1
1124,17,5,815,1,Yes,15
1124,17,13,852,839,Yes,1
1124,17,14,840,839,,6
1124,18,3,846,847,Yes,1
1124,18,4,815,847,Yes,15
1124,18,11,822,858,Yes,1
1124,18,15,807,839,,1
1124,19,6,832,1,Yes,13
1124,21,1,830,844,Yes,1
1124,21,5,832,847,Yes,13
1124,22,3,815,846,Yes,16
1124,22,7,4,1,Yes,1
1124,23,12,840,839,Yes,6
1124,24,13,825,839,,1
1124,25,14,822,839,,1
1124,27,15,858,839,,1
1124,28,7,846,847,Yes,1
1124,33,10,852,807,Yes,6
1124,33,11,840,807,,10
1124,35,4,815,846,Yes,1
1124,36,3,815,844,Yes,1
1124,38,5,832,1,Yes,1
1124,44,4,832,846,Yes,1
1124,45,12,840,822,Replay,6
1124,46,3,832,844,Yes,1
1124,46,11,840,825,Yes,6
1124,46,13,807,822,Yes,1
1124,48,12,807,825,Replay,1
1124,52,11,807,840,,1
1124,53,7,847,857,Yes,1
1125,2,8,832,807,Yes,1
1125,2,9,840,807,Replay,6
1125,2,17,825,855,,1
1125,3,18,1,855,Yes,9
1125,4,17,1,825,Replay,9
1125,5,2,815,4,Yes,6
1125,7,3,846,4,Yes,14
1125,7,10,822,807,,14
1125,9,6,844,847,Yes,1
1125,11,4,844,857,Yes,14
1125,11,18,1,848,,9
1125,12,9,4,858,Replay,14
1125,13,8,4,825,,14
1125,13,9,847,825,,14
1125,13,15,1,852,Yes,1
1125,15,9,840,825,Replay,6
1125,16,2,830,844,Yes,6
1125,16,17,817,855,,1
1125,17,4,815,832,Yes,14
1125,17,11,822,825,,14
1125,17,16,817,848,,14
1125,18,7,857,840,Yes,14
1125,18,9,832,807,Yes,14
1125,19,1,830,846,Yes,14
1125,19,14,817,852,Yes,14
1125,21,8,832,840,Yes,6
1125,21,8,840,832,Yes,6
1125,27,5,4,832,Replay,14
1125,27,11,1,839,,9
1125,27,13,852,825,,1
1125,32,9,807,817,,6
1125,32,10,1,817,,9
1125,32,11,839,817,Yes,14
1125,33,12,848,817,Yes,1
1125,33,14,842,855,Yes,6
1125,34,16,840,825,Yes,9
1125,34,16,825,840,Yes,14
1125,34,16,840,825,Yes,14
1125,37,13,842,858,,
1125,38,12,855,858,Yes,14
1125,39,3,815,844,Yes,6
1125,41,9,1,807,Yes,9
1125,43,13,825,858,Yes,6
1125,45,11,4,848,Yes,14
1125,46,10,4,839,Yes,9
1125,47,9,4,807,Yes,14
1125,48,14,842,858,,14
1125,49,7,4,857,Replay,14
1125,49,8,4,1,Yes,6
1125,49,15,855,858,Yes,14
1125,53,13,842,825,Yes,6
1125,53,14,855,825,Yes,14
1125,55,16,840,858,,14
1126,2,7,807,1,Yes,1
1126,2,12,842,4,Replay,13
1126,2,14,848,839,Yes,17
1126,2,17,855,825,Background,17
1126,2,18,822,825,Background,17
1126,4,2,857,844,Yes,17
1126,7,7,1,807,Yes,11
1126,7,7,807,1,Replay,17
1126,10,7,1,807,Yes,11
1126,12,8,847,807,Yes,11
1126,12,10,839,4,,17
1126,12,17,848,840,Replay,11
1126,12,17,840,848,,17
1126,19,9,815,839,Replay,11
1126,21,5,844,1,Yes,11
1126,23,13,839,842,,11
1126,23,14,4,842,Yes,17
1126,24,7,815,852,Replay,11
1126,24,12,839,807,Yes,11
1126,25,13,4,807,Yes,11
1126,26,11,847,839,Yes,1
1126,26,14,842,807,,11
1126,26,14,807,842,,11
1126,27,10,847,817,Yes,11
1126,27,14,842,807,,11
1126,28,8,1,855,,11
1126,34,7,1,852,Replay,13
1126,34,15,807,817,,1
1126,40,5,815,857,Yes,11
1126,40,6,1,857,Yes,11
1126,40,14,807,855,,1
1126,41,12,807,848,,1
1126,45,11,807,842,,1
1126,45,15,840,817,Yes,1
1126,46,18,857,825,,17
1126,48,9,4,839,Yes,11
1126,48,14,840,855,,1
1126,48,17,857,822,,11
1126,53,14,855,848,Yes,3
1126,54,15,857,817,Replay,17
1126,57,14,857,855,,17
1127,10,12,840,839,,Tamburello
1127,23,9,847,839,Replay,Tamburello
1127,24,5,846,815,Yes,Tamburello
1127,25,7,857,840,Yes,Tamburello
1127,26,12,852,858,Replay,Tamburello
1127,26,13,807,858,Replay,Villeneuve
1127,27,5,844,815,Yes,Tamburello
1127,27,6,857,815,Yes,Villeneuve
1127,27,8,847,840,,Tamburello
1127,30,5,832,815,Yes,Tamburello
1127,31,6,847,815,Yes,Tamburello
1127,31,8,1,840,Replay,Variante Alta
1127,33,11,852,855,Yes,Tamburello
1127,37,7,1,815,Yes,Tamburello
1127,37,15,839,4,Replay,Tamburello
1127,39,10,815,817,,Tamburello
1127,40,9,815,807,Yes,Tamburello
1127,40,12,840,822,,Tamburello
1127,42,8,815,852,Yes,Tamburello
1127,43,11,840,817,,Tamburello
1127,46,10,840,807,Yes,Tamburello
1127,48,15,825,855,Yes,Tamburello
1127,50,9,840,852,Yes,Tamburello
1127,50,14,825,839,Yes,Tamburello
1127,51,13,825,822,Yes,Tamburello
1127,52,18,4,858,,Tamburello
1127,59,14,839,822,Replay,Piratella
1127,60,15,855,822,,Tamburello
1127,61,16,842,822,,Tamburello
1127,62,12,825,817,,Tamburello
1128,51,13,822,858,Replay,Mirabeau
1128,55,15,840,855,Replay,Nouvelle Chicane
1128,56,14,840,858,Replay,Saint Devote
1128,68,15,858,855,Replay,Mirabeau
1129,2,5,825,4,Yes,13
1129,2,6,825,1,Yes,8
1129,2,7,825,817,,3
1129,2,10,807,844,,10
1129,2,11,807,852,,8
1129,2,12,807,848,Yes,3
1129,2,14,858,832,Background,1
1129,3,4,825,857,Yes,13
1129,3,8,807,817,,8
1129,3,9,807,840,Yes,3
1129,3,14,832,858,,14
1129,8,13,832,825,,2
1129,11,7,817,807,Yes,13
1129,12,8,840,807,,3
1129,12,9,844,807,,10
1129,12,10,852,807,,10
1129,12,11,848,807,,13
1129,19,10,848,852,,13
1129,20,2,846,830,Yes,13
1129,20,9,848,844,Replay,13
1129,20,18,807,855,,3
1129,21,1,846,847,Yes,13
1129,21,2,830,847,Yes,14
1129,21,10,852,844,,13
1129,21,15,842,815,,8
1129,30,9,848,839,Replay,13
1129,30,10,848,817,Replay,13
1129,31,14,842,825,,2
1129,37,15,815,825,Yes,13
1129,37,17,807,855,Replay,13
1129,43,9,839,848,,13
1129,43,17,842,825,,13
1129,44,9,848,1,,3
1129,45,13,815,807,,10
1129,45,15,842,822,,13
1129,47,11,832,817,,10
1129,47,14,842,807,,13
1129,48,1,830,846,Yes,2
1129,49,2,847,846,Yes,13
1129,51,2,846,847,Yes,9
1129,52,10,832,848,,8
1129,61,8,839,852,,13
1129,63,4,1,847,Yes,14
1129,65,3,1,857,Yes,13
1129,66,4,847,857,Yes,13
1129,66,12,825,822,,10
1129,67,8,817,839,,13
1129,68,3,847,1,Yes,13
1130,2,18,817,858,Yes,1
1130,3,1,830,847,Yes,1
1130,3,5,832,844,Replay,1
1130,6,12,840,4,,1
1130,6,15,825,852,,1
1130,6,19,848,858,,1
1130,7,13,822,4,Replay,1
1130,7,16,855,852,,1
1130,11,19,825,852,,11
1130,12,10,815,807,Replay,1
1130,16,7,847,4,,12
1130,16,11,839,848,,1
1130,16,12,842,848,,4
1130,17,5,847,840,Yes,10
1130,17,7,832,4,Yes,1
1130,17,8,1,4,Yes,5
1130,17,10,842,839,,1
1130,17,12,815,848,,1
1130,18,12,807,848,,1
1130,19,6,1,832,Yes,1
1130,20,14,840,825,Yes,1
1130,21,3,830,857,Yes,7
1130,22,10,857,807,Replay,10
1130,23,15,4,825,Yes,1
1130,26,13,840,822,,1
1130,27,4,846,832,Yes,1
1130,27,6,844,842,Yes,1
1130,27,14,4,822,,1
1130,28,9,857,815,Yes,1
1130,29,8,857,839,Replay,1
1130,30,9,815,839,Replay,1
1130,32,3,846,1,Yes,1
1130,33,17,822,858,,1
1130,34,7,857,842,Yes,1
1130,34,13,815,4,,1
1130,35,2,846,847,Yes,3
1130,35,2,847,846,Yes,5
1130,35,2,846,847,Yes,7
1130,35,12,815,840,,1
1130,36,11,815,855,,1
1130,38,6,847,842,Yes,1
1130,40,9,842,855,Replay,1
1130,40,12,839,817,Yes,1
1130,41,16,840,822,Yes,1
1130,42,18,825,852,Yes,1
1130,44,13,855,840,,1
1130,46,4,847,857,Yes,1
1130,46,5,1,832,Yes,1
1130,51,9,815,839,Yes,1
1130,52,3,1,847,Yes,1
1130,53,12,4,855,Yes,1
1130,55,19,852,858,,1
1130,57,16,817,825,Yes,1
1130,60,15,817,822,,1
1130,66,8,815,842,,1
1131,2,8,807,839,,4
1131,2,13,852,4,Yes,1
1131,2,16,840,822,,4
1131,3,3,1,847,Yes,3
